staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,OSK,JA,8,大崎,Ōsaki,おおさき,0,,,ja.js.jy.r
2,EBS,JA,9,恵比寿,Ebisu,えびす,3,,,ja.js.jy.h
3,SBY,JA,10,渋谷,Shibuya,しぶや,6,,,ja.js.jy.g.z.f.ty.dt.in
4,SJK,JA,11,新宿,Shinjuku,しんじゅく,9,,,jc.jb.ja.js.jy.m.s.e.ko.od
5,IKB,JA,12,池袋,Ikebukuro,いけぶくろ,12,,,ja.js.jy.m.y.f.ty.tj
6,,JA,13,板橋,Itabashi,いたばし,15,,,
7,,JA,14,十条,Jūjō,じゅうじょう,18,,,
8,ABN,JA,15,赤羽,Akabane,あかばね,21,,,ju.js.jk.ja
9,,JA,16,北赤羽,Kita-Akabane,きたあかばね,24,,,
10,,JA,17,浮間舟渡,Ukima-Funado,うきまふなど,27,,,
11,,JA,18,戸田公園,Toda-Kōen,とだこうえん,30,,,
12,,JA,19,戸田,Toda,とだ,33,,,
13,,JA,20,北戸田,Kita-Toda,きたとだ,36,,,
14,,JA,21,武蔵浦和,Musashi-Urawa,むさしうらわ,39,,,jm.ja
15,,JA,22,中浦和,Naka-Urawa,なかうらわ,42,,,
16,,JA,23,南与野,Minami-Yono,みなみよの,45,,,
17,,JA,24,与野本町,Yonohonmachi,よのほんまち,48,,,
18,,JA,25,北与野,Kita-Yono,きたよの,51,,,
19,OMY,JA,26,大宮,Ōmiya,おおみや,54,,,ju.js.jk.ja.sh
20,,,,日進,Nisshin,にっしん,57,,,
21,,,,指扇,Sashiōgi,さしおうぎ,60,,,
22,,,,南古谷,Minami-Furuya,みなみふるや,63,,,
23,,,,川越,Kawagoe,かわごえ,66,,,tj.ss
