staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,,JB,1,三鷹,Mitaka,みたか,0,,,jc.jb
2,,JB,2,吉祥寺,Kichijōji,きちじょうじ,2,,,jc.jb.in
3,,JB,3,西荻窪,Nishi-Ogikubo,にしおぎくぼ,4,,,jc.jb
4,,JB,4,荻窪,Ogikubo,おぎくぼ,6,,,jc.jb.m
5,,JB,5,阿佐ケ谷,Asagaya,あさがや,8,,,jc.jb
6,,JB,6,高円寺,Kōenji,こうえんじ,10,,,jc.jb
7,,JB,7,中野,Nakano,なかの,12,,,jc.jb.t
8,,JB,8,東中野,Higashi-Nakano,ひがしなかの,14,,,jb.e
9,,JB,9,大久保,Ōkubo,おおくぼ,16,,,
10,SJK,JB,10,新宿,Shinjuku,しんじゅく,18,,,jc.jb.ja.js.jy.m.s.e.ko.od
11,,JB,11,代々木,Yoyogi,よよぎ,20,,,jb.jy.e
12,,JB,12,千駄ケ谷,Sendagaya,せんだがや,22,,,jb.e
13,,JB,13,信濃町,Shinanomachi,しなのまち,24,,,
14,,JB,14,四ツ谷,Yotsuya,よつや,26,,,jc.jb.m.n
15,,JB,15,市ケ谷,Ichigaya,いちがや,28,,,jb.y.s.n
16,,JB,16,飯田橋,Iidabashi,いいだばし,30,,,jb.t.y.s.e
17,,JB,17,水道橋,Suidōbashi,すいどうばし,32,,,jb.i
18,,JB,18,御茶ノ水,Ochanomizu,おちゃのみず,34,,,jc.jb.m.c
19,AKB,JB,19,秋葉原,Akihabara,あきはばら,36,,,jk.jy.jb.h.tx
20,,JB,20,浅草橋,Asakusabashi,あさくさばし,38,,,jb.a
21,,JB,21,両国,Ryōgoku,りょうごく,40,,,jb.e
22,,JB,22,錦糸町,Kinshichō,きんしちょう,42,,,jo.jb.z
23,,JB,23,亀戸,Kameido,かめいど,44,,,jb.ts
24,,JB,24,平井,Hirai,ひらい,46,,,
25,,JB,25,新小岩,Shin-Koiwa,しんこいわ,48,,,jo.jb
26,,JB,26,小岩,Koiwa,こいわ,50,,,
27,,JB,27,市川,Ichikawa,いちかわ,52,,,jo.jb
28,,JB,28,本八幡,Moto-Yawata,もとやわた,54,,,jb.s.ks
29,,JB,29,下総中山,Shimōsa-Nakayama,しもうさなかやま,56,,,
30,,JB,30,西船橋,Nishi-Funabashi,にしふなばし,58,,,jm.je.jb.t.ks
31,,JB,31,船橋,Funabashi,ふなばし,60,,,jo.jb.td.ks
32,,JB,32,東船橋,Higashi-Funabashi,ひがしふなばし,62,,,
33,,JB,33,津田沼,Tsudanuma,つだぬま,64,,,jo.jb.sl
34,,JB,34,幕張本郷,Makuharihongō,まくはりほんごう,66,,,jb.sl
35,,JB,35,幕張,Makuhari,まくはり,68,,,ks
36,,JB,36,検見川,Kemigawa,けみがわ,70,,,
37,,JB,37,稲毛,Inage,いなげ,72,,,jo.jb
38,,JB,38,西千葉,Nishi-Chiba,にしちば,74,,,
39,,JB,39,千葉,Chiba,ちば,76,,,jo.jb.lc.c
