staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,,JH,13,東神奈川,Higashi-Kanagawa,ひがしかながわ,0,0,0,jk
2,,JH,14,大口,Ōguchi,おおぐち,1,,,
3,,JH,15,菊名,Kikuna,きくな,2,1,,ty
4,,JH,16,新横浜,Shin-Yokohama,しんよこはま,3,2,,sh.js.bt
5,,JH,17,小机,Kozukue,こづくえ,4,,,
6,,JH,18,鴨居,Kamoi,かもい,5,3,,
7,,JH,19,中山,Nakayama,なかやま,6,4,,gr
8,,JH,20,十日市場,Tōkaichiba,とおかいちば,7,,,
9,,JH,21,長津田,Nagatsuta,ながつた,8,5,,dt.kd
10,,JH,22,成瀬,Naruse,なるせ,9,,,
11,,JH,23,町田,Machida,まちだ,10,6,0,oh
12,,JH,24,古淵,Kobuchi,こぶち,11,,,
13,,JH,25,淵野辺,Fuchinobe,ふちのべ,12,,,
14,,JH,26,矢部,Yabe,やべ,13,,,
15,,JH,27,相模原,Sagamihara,さがみはら,14,7,,
16,,JH,28,橋本,Hashimoto,はしもと,15,8,,jh.io
17,,JH,29,相原,Aihara,あいはら,16,9,,
18,,JH,30,八王子みなみ野,Hachiōji-minamino,はちおうじみなみの,17,10,,
19,,JH,31,片倉,Katakura,かたくら,18,11,,
20,,JH,32,八王子,Hachiōji,はちおうじ,19,12,1,jc
