staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,OFN,JK,1,大船,Ōfuna,おおふな,0,,,jt.js.jo.jk
2,,JK,2,本郷台,Hongōdai,ほんごうだい,4,,,
3,,JK,3,港南台,Kōnandai,こうなんだい,7,,,
4,,JK,4,洋光台,Yōkōdai,ようこうだい,10,,,
5,,JK,5,新杉田,Shin-Sugita,しんすぎた,13,,,ks.ss
6,,JK,6,磯子,Isogo,いすご,16,,,
7,,JK,7,根岸,Negishi,ねぎし,19,,,
8,,JK,8,山手,Yamate,やまて,21,,,
9,,JK,9,石川町,Ishikawachō,いしかわちょう,23,,,
10,,JK,10,関内,Kannai,かんない,25,,,b
11,,JK,11,桜木町,Sakuragichō,さくらぎちょう,27,,,b
12,YHM,JK,12,横浜,Yokohama,よこはま,30,,,jt.jk.js.jo.kk.ty.sh.b
13,,JK,13,東神奈川,Higashi-Kanagawa,ひがしかながわ,33,,,jk.jh
14,,JK,14,新子安,Shin-Koyasu,しんこやす,36,,,
15,,JK,15,鶴見,Tsurumi,つるみ,39,,,jk.ji
16,KWS,JK,16,川崎,Kawasaki,かわさき,43,,,jt.jk.jn
17,,JK,17,蒲田,Kamata,かまた,48,,,tm.ik
18,,JK,18,大森,Ōmori,おおもり,51,,,
19,,JK,19,大井町,Ōimachi,おおいまち,54,,,r.om
20,SGW,JK,20,品川,Shinagawa,しながわ,57,,,jt.jo.jk.jy.sh
21,,JK,21,高輪ゲートウェイ,Takanawa Gateway,たかなわげーとうぇい,59,,,jk.jy
22,,JK,22,田町,Tamachi,たまち,61,,,jk.jy
23,HMC,JK,23,浜松町,Hamamatsuchō,はままつちょう,64,,,jk.jy.mo.a.e
24,SMB,JK,24,新橋,Shimbashi,しんばし,66,,,jt.jo.jk.jy.g.a.u
25,,JK,25,有楽町,Yūrakuchō,ゆうらくちょう,68,,,jk.jy.y.h.i
26,TYO,JK,26,東京,Tōkyō,とうきょう,70,,,jt.ju.jk.jy.jc.jo.js.sh
27,KND,JK,27,神田,Kanda,かんだ,72,,,jk.jy.jc.g
28,AKB,JK,28,秋葉原,Akihabara,あきはばら,74,,,jk.jy.jb.h.tx
29,,JK,29,御徒町,Okachimachi,おかちまち,76,,,jk.jy
30,UEN,JK,30,上野,Ueno,うえの,78,,,ju.jj.jk.jy.sh.g.h
31,,JK,31,鶯谷,Uguisudani,うぐいすだに,80,,,jk.jy
32,NPR,JK,32,日暮里,Nippori,にっぽり,82,,,jj.jk.jy.ks.nt
33,,JK,33,西日暮里,Nishi-Nippori,にしにっぽり,84,,,jk.jy.c.nt
34,,JK,34,田端,Tabata,たばた,86,,,jk.jy
35,,JK,35,上中里,Kami-Nakazato,かみなかざと,88,,,
36,,JK,36,王子,Ōji,おうじ,90,,,n.sa
37,,JK,37,東十条,Higashi-Jūjō,ひがしじゅうじょう,93,,,
38,ABN,JK,38,赤羽,Akabane,あかばね,96,,,ju.js.jk.ja
39,,JK,39,川口,Kawaguchi,かわぐち,99,,,
40,,JK,40,西川口,Nishi-Kawaguchi,にしかわぐち,102,,,
41,,JK,41,蕨,Warabi,わらび,105,,,
42,,JK,42,南浦和,Minami-Urawa,みなみうらわ,108,,,jk.jm
43,URW,JK,43,浦和,Urawa,うらわ,110,,,ju.js.jk
44,,JK,44,北浦和,Kita-Urawa,きたうらわ,113,,,
45,,JK,45,与野,Yono,よの,115,,,
46,,JK,46,さいたま新都心,Saitama-Shintoshin,さいたましんとしん,117,,,ju.jk
47,OMY,JK,47,大宮,Ōmiya,おおみや,120,,,ju.js.jk.ja.sh
