staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,,JM,1,府中本町,Fuchū-Hommachi,ふちゅうほんまち,0,,,jn
2,,JM,2,北府中,Kita-Fuchū,きたふちゅう,1,,,
3,,JM,3,西国分寺,Nishi-Kokubunji,にしこくぶんじ,2,,,jc
4,,JM,4,新小平,Shin-Kodaira,しんこだいら,3,,,
5,,JM,5,新秋津,Shin-Akitsu,しんあきつ,4,,,
6,,JM,6,東所沢,Higashi-Tokorozawa,ひがしところざわ,5,,,
7,,JM,7,新座,Niiza,にいざ,6,,,
8,,JM,8,北朝霞,Kita-Asaka,きたあさか,7,,,tj
9,,JM,9,西浦和,Nishi-Urawa,にしうらわ,8,,,
10,,JM,10,武蔵浦和,Musashi-Urawa,むさしうらわ,9,,,ja
11,,JM,11,南浦和,Minami-Urawa,みなみうらわ,10,,,jk
12,,JM,12,東浦和,Higashi-Urawa,ひがしうらわ,11,,,
13,,JM,13,東川口,Higashi-Kawaguchi,ひがしかわぐち,12,,,sr
14,,JM,14,南越谷,Minami-Koshigaya,みなみこしがや,13,,,ts
15,,JM,15,越谷レイクタウン,Koshigaya-Laketown,こしがやれいくたうん,14,,,
16,,JM,16,吉川,Yoshikawa,よしかわ,15,,,
17,,JM,17,吉川美南,Yoshikawaminami,よしかわみなみ,16,,,
18,,JM,18,新三郷,Shin-Misato,しんみさと,17,,,
19,,JM,19,三郷,Misato,みさと,18,,,
20,,JM,20,南流山,Minami-Nagareyama,みなみながれやま,19,,,tx
21,,JM,21,新松戸,Shin-Matsudo,しんまつど,20,,,jl.sl
22,,JM,22,新八柱,Shin-Yahashira,しんやはしら,21,,,sl
23,,JM,23,東松戸,Higashi-Matsudo,ひがしまつど,22,,,ks.hs
24,,JM,24,市川大野,Ichikawa-Ōno,いちかわおおの,23,,,
25,,JM,25,船橋法典,Funabashi-Hōten,ふなばしほうてん,24,,,
26,,JM,26,西船橋,Nishi-Funabashi,にしふなばし,25,,,jb.je.t.hs
27,,JM,27,南船橋,Minami-Funabashi,みなみふなばし,26,,,je
