staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,KWS,JN,1,川崎,Kawasaki,かわさき,0,0,0,jt.jk
2,,JN,2,尻手,Shitte,しって,1,,,
3,,JN,3,矢向,Yakō,やこう,2,,,
4,,JN,4,鹿島田,Kashimada,かしまだ,3,3,,
5,,JN,5,平間,Hirama,ひらま,4,,,
6,,JN,6,向河原,Mukaigawara,むかいがわら,5,,,
7,MKG,JN,7,武蔵小杉,Musashi-Kosugi,むさしこすぎ,6,6,,
8,,JN,8,武蔵中原,Musashi-Nakahara,むさしなかはら,7,7,,
9,,JN,9,武蔵新城,Musashi-Shinjō,むさししんじょう,8,8,,
10,,JN,10,武蔵溝ノ口,Musashi-Mizonokuchi,むさしみぞのくち,9,9,9,
11,,JN,11,津田山,Tsudayama,つだやま,10,,,
12,,JN,12,久地,Kuji,くじ,11,,,
13,,JN,13,宿河原,Shukugawara,しゅくがわら,12,,,
14,,JN,14,登戸,Noborito,のぼりと,13,13,13,
15,,JN,15,中野島,Nakanoshima,なかのしま,14,,,
16,,JN,16,稲田堤,Inadazutsumi,いなだづつみ,15,15,,
17,,JN,17,矢野口,Yanokuchi,やのくち,16,,,
18,,JN,18,稲城長沼,Inagi-Naganuma,いなぎながぬま,17,17,,
19,,JN,19,南多摩,Minami-Tama,みなみたま,18,,,
20,,JN,20,府中本町,Fuchū-Hommachi,ふちゅうほんまち,19,19,19,
21,,JN,21,分倍河原,Bubaigawara,ぶばいがわら,20,20,20,
22,,JN,22,西府,Nishifu,にしふ,21,,,
23,,JN,23,谷保,Yaho,やほ,22,,,
24,,JN,24,矢川,Yagawa,やがわ,23,,,
25,,JN,25,西国立,Nishi-Kunitachi,にしくにたち,24,,,
26,,JN,26,立川,Tachikawa,たちかわ,25,25,25,
