staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,,JO,1,久里浜,Kurihama,くりはま,0,,,jo.kk
2,,JO,2,衣笠,Kinugasa,きぬがさ,3,,,
3,,JO,3,横須賀,Yokosuka,よこすか,6,,,jo
4,,JO,4,田浦,Taura,たうら,9,,,
5,,JO,5,東逗子,Higashi-Zushi,ひがしずし,12,,,
6,,JO,6,逗子,Zushi,ずし,15,,,jo.js.kk
7,,JO,7,鎌倉,Kamakura,かまくら,18,,,jo.js.en
8,,JO,8,北鎌倉,Kita-Kamakura,きたかまくら,21,,,jo.js
9,OFN,JO,9,大船,Ōfuna,おおふな,24,,,jt.js.jo.jk.sh
10,TTK,JO,10,戸塚,Totsuka,とつか,27,,,jt.js.jo.b
11,,JO,11,東戸塚,Higashi-Totsuka,ひがしとつか,30,,,jo.js
12,,JO,12,保土ケ谷,Hodogaya,ほどがや,33,,,jo.js
13,YHM,JO,13,横浜,Yokohama,よこはま,36,,,jt.jk.js.jo.kk.ty.sh.b
14,,JO,14,新川崎,Shin-Kawasaki,しんかわさき,39,,,jo.js
15,MKG,JO,15,武蔵小杉,Musashi-Kosugi,むさしこすぎ,42,,,jo.js.jn.ty.mg
16,,JO,16,西大井,Nishi-Ōi,にしおおい,45,,,jo.js
17,SGW,JO,17,品川,Shinagawa,しながわ,48,,,jt.jo.jk.jy.sh.kk
18,SMB,JO,18,新橋,Shimbashi,しんばし,51,,,jt.jo.jk.jy.g.a.u
19,TYO,JO,19,東京,Tōkyō,とうきょう,54,,,jt.ju.jk.jy.jc.jo.js.sh
20,,JO,20,新日本橋,Shin-Nihombashi,しんにほんばし,57,,,jo.g.z
21,,JO,21,馬喰町,Bakurochō,ばくろちょう,60,,,jo.s.a
22,,JO,22,錦糸町,Kinshichō,きんしちょう,63,,,jo.jb.z
23,,JO,23,新小岩,Shin-Koiwa,しんこいわ,66,,,jo.jb
24,,JO,24,市川,Ichikawa,いちかわ,69,,,jo.jb
25,,JO,25,船橋,Funabashi,ふなばし,72,,,jo.jb.td.ks
26,,JO,26,津田沼,Tsudanuma,つだぬま,75,,,jo.jb.sl
27,,JO,27,稲毛,Inage,いなげ,78,,,jo.jb
28,,JO,28,千葉,Chiba,ちば,81,,,jo.jb.lc.c
29,,JO,29,東千葉,Higashi-Chiba,ひがしちば,84,,,
30,,JO,30,都賀,Tsuga,つが,87,,,lc
31,,JO,31,四街道,Yotsukaidō,よつかいどう,90,,,
32,,JO,32,物井,Monoi,ものい,93,,,
33,,JO,33,佐倉,Sakura,さくら,96,,,jo
34,,JO,34,酒々井,Shisui,しすい,99,,,
35,,JO,35,成田,Narita,なりた,102,,,jo.ab.k
36,,JO,36,空港第２ビル,Narita Airport Terminal 2·3,くうこうだいにびる,105,,,jo.ks
37,,JO,37,成田空港,Narita Airport Terminal 1,なりたくうこう,108,,,jo.ks
