staNo,stacode,linecode,stanumber,jp,en,kana,local,rapid,exp,transfer
1,,JS,1,宇都宮,Utsunomiya,うつのみや,0,0,0,sh.nj
2,,JS,2,小山,Oyama,おやま,1,0,0,sh.jh.su
3,,JS,3,古河,Koga,こが,2,0,0,
4,,JS,4,久喜,Kuki,くき,3,0,0,ts
5,,JS,5,蓮田,Hasuda,はすだ,4,0,0,
6,OMY,JS,6,大宮,Ōmiya,おおみや,5,0,0,jk.ja.jj.sh.td.ns
7,,JS,7,赤羽,Akabane,あかばね,6,0,0,jk.ja
8,IKB,JS,8,池袋,Ikebukuro,いけぶくろ,7,0,0,jy.ja.m.y.f.tj.si
9,SJK,JS,9,新宿,Shinjuku,しんじゅく,8,0,0,jy.jc.jb.ja.m.s.e.ko.oh.ss
10,SBY,JS,10,渋谷,Shibuya,しぶや,9,0,0,jy.ja.gn.z.f.ty.dt.in
11,EBS,JS,11,恵比寿,Ebisu,えびす,10,0,0,jy.ja.h
12,OSK,JS,12,大崎,Ōsaki,おおさき,11,0,0,jy.ja.r.so
13,,JS,13,武蔵小杉,Musashi-Kosugi,むさしこすぎ,12,0,0,jn.jo.ty.mg
14,YHM,JS,14,横浜,Yokohama,よこはま,13,0,0,jt.jk.jo.ty.kk.mm.bt
15,,JS,15,戸塚,Totsuka,とつか,14,0,0,jt.jo.bt
16,OFN,JS,16,大船,Ōfuna,おおふな,15,0,0,jt.jo.jk.sh.bm
17,,JS,17,北鎌倉,Kita-Kamakura,きたかまくら,16,0,0,
18,,JS,18,鎌倉,Kamakura,かまくら,17,0,0,en
19,,JS,19,逗子,Zushi,ずし,18,0,0,jo
